DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2005,92644.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2006,94497.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2007,98043.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2008,99427.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2009,90147.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2010,95552.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2011,97502.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2012,96989.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2013,98736.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2014,97148.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2015,95632.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2016,96605.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2017,100966.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2018,103799.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2019,103855.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2020,101336.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2021,110310.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2022,114053.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2023,108051.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2024,107367.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,1995,46308.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,1996,45834.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,1997,45581.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,1998,44957.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,1999,46353.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2000,46578.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2001,45885.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2002,46142.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2003,50300.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2004,56219.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2005,58921.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2006,64540.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2007,71606.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2008,75713.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2009,76306.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2010,84240.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2011,89209.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2012,91621.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2013,89717.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2014,96050.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2015,100191.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2016,104738.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2017,106686.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2018,111949.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2019,117387.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2020,113277.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2021,114509.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2022,123039.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2023,122070.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,PL,2024,123142.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,C,B1G,DE,1991,479219.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,C,B1G,DE,1992,465958.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,C,B1G,DE,1993,428315.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,C,B1G,DE,1994,440475.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,C,B1G,DE,1995,438520.4,,
